Facility Name,Facility Name Normalized,Changed,VLOOKUP,Date Collected,State,County,City,State Facility Type,CTP Facility Categorization,State/Fed Regulated,State Facility ID,CMS Facility ID,Date outbreak opened,Date outreak closed,Outbreak Status,Resident Census,Resident Positives,Resident Probable Positives,Resident Deaths,Resident Probable Deaths,Staff Positive,Staff Probable Positives,Staff Deaths,Staff Probable Deaths,Resident/Staff Positives,Resident/Staff Probable Positives,Resident/Staff Deaths,Resident/Staff Probable Deaths,Resident Positives.1,Resident Probable Positives.1,Resident Deaths.1,Resident Probable Deaths.1,Staff Positive.1,Staff Probable Positives.1,Staff Deaths.1,Staff Probable Deaths.1,Resident/Staff Positives.1,Resident/Staff Probable Positives.1,Resident/Staff Deaths.1,Resident/Staff Probable Deaths.1,Residents Tested,Staff Tested,Personal Protective Equipment,VLOOKUP2,Change Score,VlookupMatch
Marjorie P Lee,MARJORIE P LEE RETIREMENT COMMUNITY,,MARJORIE P LEE RETIREMENT COMMUNITY,20201104,OH,HAMILTON,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MARJORIE P LEE RETIREMENT COMMUNITY,100,True
Meadowbrook Care Center,MEADOWBROOK CARE CENTER,,MEADOWBROOK CARE CENTER,20201104,OH,HAMILTON,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEADOWBROOK CARE CENTER,100,True
Mercy Franciscan West Park,MERCY FRANCISCAN WEST PARK,,MERCY FRANCISCAN WEST PARK,20201104,OH,HAMILTON,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MERCY FRANCISCAN WEST PARK,100,True
Mimi's House,MIMI'S HOUSE,,,20201104,OH,HAMILTON,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOME AT TAYLOR'S POINTE,86,False
Mother Margaret Hall,MOTHER MARGARET HALL,,,20201104,OH,HAMILTON,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST MARGARET HALL,86,False
Mount Notre Dame Health Care,MOUNT NOTRE DAME HEALTH CARE,,MOUNT NOTRE DAME HEALTH CARE,20201104,OH,HAMILTON,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MOUNT NOTRE DAME HEALTH CARE,100,True
Mt Airy Gardens,MT AIRY GARDENS REHABILITATION AND NURSING CENTER,,MT AIRY GARDENS REHABILITATION AND NURSING CENTER,20201104,OH,HAMILTON,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT AIRY GARDENS REHABILITATION AND NURSING CENTER,100,True
Mt Washington Care Center,MOUNT WASHINGTON CARE CENTER,,MOUNT WASHINGTON CARE CENTER,20201104,OH,HAMILTON,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MOUNT WASHINGTON CARE CENTER,100,True
Northgate Park,NORTHGATE PARK,,,20201104,OH,HAMILTON,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLEASANT RIDGE CARE CENTER,45,False
Norwood Tower's Post Acute,NORWOOD TOWER'S POST ACUTE,,NORWOOD TOWER'S POST ACUTE,20201104,OH,HAMILTON,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NORWOOD TOWER'S POST ACUTE,100,True
Oak Pavilion,OAK PAVILION NURSING CENTER,,OAK PAVILION NURSING CENTER,20201104,OH,HAMILTON,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OAK PAVILION NURSING CENTER,100,True
Pleasant Ridge Care Center,PLEASANT RIDGE CARE CENTER,,PLEASANT RIDGE CARE CENTER,20201104,OH,HAMILTON,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLEASANT RIDGE CARE CENTER,100,True
Residential Management Systems - Thomwood,RESIDENTIAL MANAGEMENT SYSTEMS - THOMWOOD,,,20201104,OH,HAMILTON,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RESIDENCE AT SALEM WOODS,58,False
Sanctuary Pointe,SANCTUARY POINTE NURSING AND REHABILITATION CENTER,,SANCTUARY POINTE NURSING AND REHABILITATION CENTER,20201104,OH,HAMILTON,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SANCTUARY POINTE NURSING AND REHABILITATION CENTER,100,True
Scarlet Oaks Nursing and Rehabilitation Center,SCARLET OAKS NURSING AND REHABILITATION CENTER,x,SCARLET OAKS NURSING AND REHABILITATION CENTER,20201104,OH,HAMILTON,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCARLET OAKS NURSING AND REHABILITATION CENTER,100,True
Shawneespring of Harrison Healthcare Center,SHAWNEESPRING OF HARRISON HEALTHCARE CENTER,,SHAWNEESPRING OF HARRISON HEALTHCARE CENTER,20201104,OH,HAMILTON,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHAWNEESPRING OF HARRISON HEALTHCARE CENTER,100,True
St Joseph Home,ST JOSEPH HOME,,,20201104,OH,HAMILTON,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARCHBISHOP LEIBOLD HOME,86,False
St Margaret Hall,ST MARGARET HALL,,ST MARGARET HALL,20201104,OH,HAMILTON,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST MARGARET HALL,100,True
St Paul Village,ST PAUL VILLAGE,,,20201104,OH,HAMILTON,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DIVERSICARE OF ST THERESA,86,False
St Theresa's Diversicare,ST THERESA'S DIVERSICARE,,,20201104,OH,HAMILTON,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DIVERSICARE OF ST THERESA,91,False
Taylor's Pointe,TAYLOR'S POINTE,,,20201104,OH,HAMILTON,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOME AT TAYLOR'S POINTE,90,False
Terrace View Garden,TERRACE VIEW GARDENS,x,TERRACE VIEW GARDENS,20201104,OH,HAMILTON,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TERRACE VIEW GARDENS,100,True
The Anderson Rehabilitation,ANDERSON,x,ANDERSON,20201104,OH,HAMILTON,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ANDERSON,100,True
The Ashford of Mt Washington,THE ASHFORD OF MT WASHINGTON,,,20201104,OH,HAMILTON,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASTORIA PLACE OF SILVERTON,53,False
The Home at HearthStone,HOME AT HEARTHSTONE,x,HOME AT HEARTHSTONE,20201104,OH,HAMILTON,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOME AT HEARTHSTONE,100,True
The Residence at Salem Woods,RESIDENCE AT SALEM WOODS,x,RESIDENCE AT SALEM WOODS,20201104,OH,HAMILTON,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RESIDENCE AT SALEM WOODS,100,True
The Wellington At North Bend,THE WELLINGTON AT NORTH BEND,,,20201104,OH,HAMILTON,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WELLSPRING HEALTHCARE CENTER,51,False
Three Rivers Nursing and Rehabilitation,THREE RIVERS HEALTHCARE CENTER,x,THREE RIVERS HEALTHCARE CENTER,20201104,OH,HAMILTON,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THREE RIVERS HEALTHCARE CENTER,100,True
Traditions at Camargo,TRADITIONS AT CAMARGO,,,20201104,OH,HAMILTON,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUNTAINS TRANSITIONAL CARE CENTER,56,False
Triple Creek,TRIPLE CREEK,,,20201104,OH,HAMILTON,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRIPLE CREEK RETIREMENT COMMUNITY,90,False
Twin Lakes,TWIN LAKES,,TWIN LAKES,20201104,OH,HAMILTON,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TWIN LAKES,100,True
Twin Towers Senior Living Community,TWIN TOWERS SENIOR LIVING COMMUNITY,,,20201104,OH,HAMILTON,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TWIN TOWERS,90,False
Veranda Gardens,VERANDA GARDENS AND ASSISTED LIVING,,VERANDA GARDENS AND ASSISTED LIVING,20201104,OH,HAMILTON,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VERANDA GARDENS AND ASSISTED LIVING,100,True
Wellspring Health Care Center,WELLSPRING HEALTHCARE CENTER,x,WELLSPRING HEALTHCARE CENTER,20201104,OH,HAMILTON,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WELLSPRING HEALTHCARE CENTER,100,True
Western Hills Nursing Home and Rehab,WESTERN HILLS NURSING HOME AND REHABILITATION,,,20201104,OH,HAMILTON,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARCHBISHOP LEIBOLD HOME,86,False
Wexford Place,WEXFORD PLACE,,WEXFORD PLACE,20201104,OH,HAMILTON,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WEXFORD PLACE,100,True
Woods Edge Rehab and Nursing,WOODS EDGE REHABILITATION AND NURSING,,WOODS EDGE REHABILITATION AND NURSING,20201104,OH,HAMILTON,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOODS EDGE REHABILITATION AND NURSING,100,True
Birchaven,BIRCHAVEN RETIREMENT VILLAGE,,BIRCHAVEN RETIREMENT VILLAGE,20201022,OH,HANCOCK,,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIRCHAVEN RETIREMENT VILLAGE,100,True
Brookdale,BROOKDALE,,,20201022,OH,HANCOCK,,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARLINGTON GOOD SAMARITAN CENTER,48,False
Fox Run Manor,FOX RUN MANOR,,FOX RUN MANOR,20201104,OH,HANCOCK,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOX RUN MANOR,100,True
Good Samaritan,GOOD SAMARITAN CARE CENTER AND VILLA,,,20201104,OH,HANCOCK,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARLINGTON GOOD SAMARITAN CENTER,77,False
Primrose Retirement Village,PRIMROSE RETIREMENT VILLAGE,,,20201022,OH,HANCOCK,,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HERITAGE,45,False
St Catherine's Manor of Findlay,ST CATHERINE'S MANOR OF FINDLAY,,ST CATHERINE'S MANOR OF FINDLAY,20201104,OH,HANCOCK,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST CATHERINE'S MANOR OF FINDLAY,100,True
The Heritage,HERITAGE,x,HERITAGE,20201104,OH,HANCOCK,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HERITAGE,100,True
Kenton Nursing Rehab Center,KENTON NURSING AND REHABILITATION CENTER,,KENTON NURSING AND REHABILITATION CENTER,20201104,OH,HARDIN,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KENTON NURSING AND REHABILITATION CENTER,100,True
Gables Care Center,GABLES CARE CENTER,,GABLES CARE CENTER,20201104,OH,HARRISON,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GABLES CARE CENTER,100,True
The Meadows of Cadiz,THE MEADOWS OF CADIZ,,,20201104,OH,HARRISON,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARRIAGE INN OF CADIZ,54,False
Filling Home-DD,FILLING HOME-DD,,,20201022,OH,HENRY,,Intermediate Care Facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LUTHERAN HOME,50,False
Genacross-LTC,GENACROSS-LTC,,,20201104,OH,HENRY,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VANCREST HEALTH CARE CENTER OF HOLGATE,41,False
Northcrest- LTC,NORTHCREST REHABILITATION AND NURSING CENTER,,NORTHCREST REHABILITATION AND NURSING CENTER,20201104,OH,HENRY,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NORTHCREST REHABILITATION AND NURSING CENTER,100,True
Van Crest LTC,VANCREST HEALTH CARE CENTER OF HOLGATE,,VANCREST HEALTH CARE CENTER OF HOLGATE,20201104,OH,HENRY,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VANCREST HEALTH CARE CENTER OF HOLGATE,100,True
Vancrest,VANCREST OF ST MARY'S,,VANCREST OF ST MARY'S,20201022,OH,HENRY,,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LUTHERAN HOME,32,False
Crestwood Ridge,CRESTWOOD RIDGE SKILLED NURSING AND REHABILITATION,,CRESTWOOD RIDGE SKILLED NURSING AND REHABILITATION,20201104,OH,HIGHLAND,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRESTWOOD RIDGE SKILLED NURSING AND REHABILITATION,100,True
Edgewood,EDGEWOOD MANOR OF GREENFIELD,x,EDGEWOOD MANOR OF GREENFIELD,20201104,OH,HIGHLAND,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EDGEWOOD MANOR OF GREENFIELD,100,True
Greenfield Skilled Nursing and Rehabilitation,GREENFIELD SKILLED NURSING AND REHABILITATION,,,20201104,OH,HIGHLAND,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HEARTH AND CARE CENTER,86,False
Heartland of Hillsboro,HEARTLAND OF HILLSBORO,,HEARTLAND OF HILLSBORO,20201104,OH,HIGHLAND,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HEARTLAND OF HILLSBORO,100,True
The Laurels,THE LAURELS,,,20201104,OH,HIGHLAND,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAURELS OF HILLSBORO,86,False
Carlin House,CARLIN HOUSE,,,20201022,OH,HOCKING,,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOGAN CARE AND REHABILITATION,45,False
Logan Care and Rehabilitation,LOGAN CARE AND REHABILITATION,,LOGAN CARE AND REHABILITATION,20201104,OH,HOCKING,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOGAN CARE AND REHABILITATION,100,True
Oak Pointe,OAK POINTE NURSING AND REHABILITATION,,OAK POINTE NURSING AND REHABILITATION,20201104,OH,HOLMES,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OAK POINTE NURSING AND REHABILITATION,100,True
Scenic Pointe,SCENIC POINTE NURSING AND REHABILITATION CENTER,,SCENIC POINTE NURSING AND REHABILITATION CENTER,20201104,OH,HOLMES,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCENIC POINTE NURSING AND REHABILITATION CENTER,100,True
Sycamore Run,SYCAMORE RUN NURSING AND REHABILITATION CENTER,,SYCAMORE RUN NURSING AND REHABILITATION CENTER,20201104,OH,HOLMES,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYCAMORE RUN NURSING AND REHABILITATION CENTER,100,True
Walnut Hills,WALNUT HILLS NURSING HOME,,WALNUT HILLS NURSING HOME,20201104,OH,HOLMES,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WALNUT HILLS NURSING HOME,100,True
Bellevue Care Center,BELLEVUE CARE CENTER,,BELLEVUE CARE CENTER,20201104,OH,HURON,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GAYMONT CARE AND REHABILITATION,86,False
Gaymont Care and Rehabilitation,GAYMONT CARE AND REHABILITATION,,GAYMONT CARE AND REHABILITATION,20201104,OH,HURON,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GAYMONT CARE AND REHABILITATION,100,True
Norwalk Memorial Home,NORWALK MEMORIAL HOME,,NORWALK MEMORIAL HOME,20201104,OH,HURON,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NORWALK MEMORIAL HOME,100,True
Twilight Gardens Nursing and Rehabilitation,TWILIGHT GARDENS NURSING AND REHABILITATION,,TWILIGHT GARDENS NURSING AND REHABILITATION,20201104,OH,HURON,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TWILIGHT GARDENS NURSING AND REHABILITATION,100,True
Willows at Bellevue,WILLOWS AT BELLEVUE,,WILLOWS AT BELLEVUE,20201104,OH,HURON,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WILLOWS AT WILLARD,70,False
Willows at Willard,WILLOWS AT WILLARD,,WILLOWS AT WILLARD,20201104,OH,HURON,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WILLOWS AT WILLARD,100,True
Oakwood Community Health Center,OAKWOOD COMMUNITY HEALTH CENTER,,,20201104,OH,JACKSON,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JACKSON HEALTHCARE,53,False
Catherine's Care Center,CATHERINE'S CARE CENTER,,CATHERINE'S CARE CENTER,20201104,OH,JEFFERSON,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CATHERINE'S CARE CENTER,100,True
Country Club Manor,STEUBENVILLE COUNTRY CLUB MANOR,x,STEUBENVILLE COUNTRY CLUB MANOR,20201104,OH,JEFFERSON,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STEUBENVILLE COUNTRY CLUB MANOR,100,True
Dixon Health Care,DIXON HEALTHCARE CENTER,x,DIXON HEALTHCARE CENTER,20201104,OH,JEFFERSON,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DIXON HEALTHCARE CENTER,100,True
Lancia Villa Vista,LANCIA VILLA VISTA,,LANCIA VILLA VISTA,20201104,OH,JEFFERSON,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LANCIA VILLA VISTA,100,True
The Carriage House of Steubenville,THE CARRIAGE HOUSE OF STEUBENVILLE,,,20201104,OH,JEFFERSON,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARRIAGE INN OF STEUBENVILLE,87,False
The Carriage Inn of Steubenville,CARRIAGE INN OF STEUBENVILLE,x,CARRIAGE INN OF STEUBENVILLE,20201104,OH,JEFFERSON,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARRIAGE INN OF STEUBENVILLE,100,True
The Laurels of Steubenville,LAURELS OF STEUBENVILLE,,LAURELS OF STEUBENVILLE,20201104,OH,JEFFERSON,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAURELS OF STEUBENVILLE,100,True
Centerburg Pointe,CENTERBURG POINTE,,CENTERBURG POINTE,20201104,OH,KNOX,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CENTERBURG POINTE,100,True
Concepts in Community Living,CONCEPTS IN COMMUNITY LIVING,,,20201022,OH,KNOX,,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COUNTRY COURT NURSING CENTER,51,False
Country Club Rehabilitation,COUNTRY CLUB REHABILITATION,,,20201104,OH,KNOX,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CENTERBURG RESPIRATORY AND SPECIALTY REHABILITATION CENTER,86,False
Country Court Nursing Center,COUNTRY COURT NURSING CENTER,,COUNTRY COURT NURSING CENTER,20201104,OH,KNOX,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COUNTRY COURT NURSING CENTER,100,True
Mount Vernon Health and Rehabilitation Center,MOUNT VERNON HEALTH AND REHABILITATION CENTER,,MOUNT VERNON HEALTH AND REHABILITATION CENTER,20201104,OH,KNOX,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MOUNT VERNON HEALTH AND REHABILITATION CENTER,100,True
Ohio Eastern Star Home,OHIO EASTERN STAR HOME,,,20201104,OH,KNOX,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OHIO EASTERN STAR HEALTH CARE CENTER,86,False
The Laurels of Mount Vernon,LAURELS OF MT VERNON,x,LAURELS OF MT VERNON,20201104,OH,KNOX,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAURELS OF MT VERNON,100,True
Whispering Hills Rehabilitation and Nursing Center,WHISPERING HILLS REHABILITATION AND NURSING CENTER,,WHISPERING HILLS REHABILITATION AND NURSING CENTER,20201104,OH,KNOX,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WHISPERING HILLS REHABILITATION AND NURSING CENTER,100,True
Altercare Mentor,ALTERCARE OF MENTOR,,ALTERCARE OF MENTOR,20201104,OH,LAKE,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALTERCARE OF MENTOR,100,True
Brittany Residential,BRITTANY RESIDENTIAL,,,20201022,OH,LAKE,,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KIRTLAND REHABILITATION AND CARE,45,False
Broadfield Manor,BROADFIELD MANOR,,,20201104,OH,LAKE,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HEARTLAND OF MENTOR,51,False
Brookdale Mentor,BROOKDALE MENTOR,,,20201022,OH,LAKE,,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MENTOR RIDGE HEALTH AND REHABILITATION CENTER,86,False
Brookdale Wickliffe,BROOKDALE WICKLIFFE,,,20201022,OH,LAKE,,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WICKLIFFE COUNTRY PLACE,61,False
Cardinal Woods Skilled Nursing and Rehab,CARDINAL WOODS SKILLED NURSING AND REHABILITATION CENTER,,CARDINAL WOODS SKILLED NURSING AND REHABILITATION CENTER,20201104,OH,LAKE,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARDINAL WOODS SKILLED NURSING AND REHABILITATION CENTER,100,True
Concord Village Skilled Nursing and Rehabilitation,CONCORD VILLAGE SKILLED NURSING AND REHABILITATION,,CONCORD VILLAGE SKILLED NURSING AND REHABILITATION,20201104,OH,LAKE,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONCORD VILLAGE SKILLED NURSING AND REHABILITATION,100,True
Continuing Healthcare of Mentor,MENTOR WOODS SKILLED NURSING AND REHABILITATION,x,MENTOR WOODS SKILLED NURSING AND REHABILITATION,20201104,OH,LAKE,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MENTOR WOODS SKILLED NURSING AND REHABILITATION,100,True
Danbury Senior Living,DANBURY SENIOR LIVING,,,20201104,OH,LAKE,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OHIO LIVING BRECKENRIDGE VILLAGE SNF,86,False
Grand River Health and Rehab Center,GRAND RIVER HEALTH AND REHABILITATION CENTER,,GRAND RIVER HEALTH AND REHABILITATION CENTER,20201104,OH,LAKE,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRAND RIVER HEALTH AND REHABILITATION CENTER,100,True
Heartland of Mentor,HEARTLAND OF MENTOR,,HEARTLAND OF MENTOR,20201104,OH,LAKE,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HEARTLAND OF MENTOR,100,True
Heartland of Willoughby,HEARTLAND OF WILLOUGHBY,,HEARTLAND OF WILLOUGHBY,20201104,OH,LAKE,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HEARTLAND OF WILLOUGHBY,100,True
Ivy House Assisted Living,IVY HOUSE ASSISTED LIVING,,,20201104,OH,LAKE,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOMESTEAD II,54,False
Kirtland Rehabilitation and Care,KIRTLAND REHABILITATION AND CARE,,KIRTLAND REHABILITATION AND CARE,20201104,OH,LAKE,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KIRTLAND REHABILITATION AND CARE,100,True
Lake County Board of Developmental Disabilities De,LAKE COUNTY BOARD OF DEVELOPMENTAL DISABILITIES DE,,,20201022,OH,LAKE,,Intermediate Care Facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOMESTEAD II,52,False
Lake County Board of Developmental Disabilities Deepwood,LAKE COUNTY BOARD OF DEVELOPMENTAL DISABILITIES DEEPWOOD,,,20201104,OH,LAKE,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOMESTEAD II,52,False
LakeMed Care and Rehabilitation,LAKEMED CARE AND REHABILITATION,,LAKEMED CARE AND REHABILITATION,20201104,OH,LAKE,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAKEMED CARE AND REHABILITATION,100,True
Madison Healthcare Skilled Nursing  Rehabilitation,MADISON HEALTHCARE SKILLED NURSING REHABILITATION,,MADISON HEALTHCARE SKILLED NURSING REHABILITATION,20201104,OH,LAKE,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MADISON HEALTHCARE SKILLED NURSING REHABILITATION,100,True
