Facility Name,Facility Name Normalized,VLOOKUP,Date Collected,State,County,City,State Facility Type,CTP Facility Categorization,State/Fed Regulated,State Facility ID,CMS Facility ID,Date outbreak opened,Date outreak closed,Outbreak Status,Resident Census,Resident Positives,Resident Probable Positives,Resident Deaths,Resident Probable Deaths,Staff Positive,Staff Probable Positives,Staff Deaths,Staff Probable Deaths,Resident/Staff Positives,Resident/Staff Probable Positives,Resident/Staff Deaths,Resident/Staff Probable Deaths,Resident Positives.1,Resident Probable Positives.1,Resident Deaths.1,Resident Probable Deaths.1,Staff Positive.1,Staff Probable Positives.1,Staff Deaths.1,Staff Probable Deaths.1,Resident/Staff Positives.1,Resident/Staff Probable Positives.1,Resident/Staff Deaths.1,Resident/Staff Probable Deaths.1,Residents Tested,Staff Tested,Personal Protective Equipment,VLOOKUP2,Change Score
Hampton Manor of Dundee 3,HAMPTON MANOR OF DUNDEE 3,,20201112,MI,MONROE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEDILODGE OF MONROE,48
Hampton Manor of Dundee 3,HAMPTON MANOR OF DUNDEE 3,,20201112,MI,MONROE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEDILODGE OF MONROE,48
Hampton Manor of Dundee 4,HAMPTON MANOR OF DUNDEE 4,,20201112,MI,MONROE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEDILODGE OF MONROE,48
Hampton Manor of Dundee 4,HAMPTON MANOR OF DUNDEE 4,,20201112,MI,MONROE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEDILODGE OF MONROE,48
Hickory Ridge of Temperance,HICKORY RIDGE OF TEMPERANCE,HICKORY RIDGE OF TEMPERANCE,20201112,MI,MONROE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HICKORY RIDGE OF TEMPERANCE,100
Hickory Ridge of Temperance,HICKORY RIDGE OF TEMPERANCE,HICKORY RIDGE OF TEMPERANCE,20201112,MI,MONROE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HICKORY RIDGE OF TEMPERANCE,100
IHM Senior Living Community,IHM SENIOR LIVING COMMUNITY,IHM SENIOR LIVING COMMUNITY,20201112,MI,MONROE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IHM SENIOR LIVING COMMUNITY,100
IHM Senior Living Community,IHM SENIOR LIVING COMMUNITY,IHM SENIOR LIVING COMMUNITY,20201112,MI,MONROE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IHM SENIOR LIVING COMMUNITY,100
Jackman Lodge,JACKMAN LODGE,,20201112,MI,MONROE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HICKORY RIDGE OF TEMPERANCE,41
Jackman Lodge,JACKMAN LODGE,,20201112,MI,MONROE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HICKORY RIDGE OF TEMPERANCE,41
McGivney Way,MCGIVNEY WAY,,20201112,MI,MONROE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE OASIS AT MONROE REHABILITATION AND NURSING CENTER,38
McGivney Way,MCGIVNEY WAY,,20201112,MI,MONROE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE OASIS AT MONROE REHABILITATION AND NURSING CENTER,38
Medilodge of Monroe,MEDILODGE OF MONROE,MEDILODGE OF MONROE,20201112,MI,MONROE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEDILODGE OF MONROE,100
Medilodge of Monroe,MEDILODGE OF MONROE,MEDILODGE OF MONROE,20201112,MI,MONROE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEDILODGE OF MONROE,100
Promedica Monroe Skilled Nursing & Rehab,PROMEDICA MONROE SKILLED NURSING AND REHABILITATION,PROMEDICA MONROE SKILLED NURSING AND REHABILITATION,20201112,MI,MONROE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PROMEDICA MONROE SKILLED NURSING AND REHABILITATION,100
Promedica Monroe Skilled Nursing & Rehab,PROMEDICA MONROE SKILLED NURSING AND REHABILITATION,PROMEDICA MONROE SKILLED NURSING AND REHABILITATION,20201112,MI,MONROE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PROMEDICA MONROE SKILLED NURSING AND REHABILITATION,100
The Oasis at Monroe Rehabilitation & Nur,THE OASIS AT MONROE REHABILITATION AND NURSING CENTER,THE OASIS AT MONROE REHABILITATION AND NURSING CENTER,20201112,MI,MONROE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE OASIS AT MONROE REHABILITATION AND NURSING CENTER,100
The Oasis at Monroe Rehabilitation & Nur,THE OASIS AT MONROE REHABILITATION AND NURSING CENTER,THE OASIS AT MONROE REHABILITATION AND NURSING CENTER,20201112,MI,MONROE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE OASIS AT MONROE REHABILITATION AND NURSING CENTER,100
Vibrant Life Senior Living Sterns Lodge,VIBRANT LIFE SENIOR LIVING STERNS LODGE,,20201112,MI,MONROE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IHM SENIOR LIVING COMMUNITY,62
Vibrant Life Senior Living Sterns Lodge,VIBRANT LIFE SENIOR LIVING STERNS LODGE,,20201112,MI,MONROE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IHM SENIOR LIVING COMMUNITY,62
Wellspring Lutheran Services Monroe,WELLSPRING LUTHERAN SERVICES MONROE,WELLSPRING LUTHERAN SERVICES MONROE,20201112,MI,MONROE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WELLSPRING LUTHERAN SERVICES MONROE,100
Wellspring Lutheran Services Monroe,WELLSPRING LUTHERAN SERVICES MONROE,WELLSPRING LUTHERAN SERVICES MONROE,20201112,MI,MONROE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WELLSPRING LUTHERAN SERVICES MONROE,100
Golden Life AFC #3,GOLDEN LIFE AFC #3,,20201112,MI,MONTCALM,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAURELS OF CARSON CITY,35
Golden Life AFC #3,GOLDEN LIFE AFC #3,,20201112,MI,MONTCALM,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAURELS OF CARSON CITY,35
Green Acres of Greenville,GREEN ACRES OF GREENVILLE,,20201112,MI,MONTCALM,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSION POINT OF GREENVILLE,65
Green Acres of Greenville,GREEN ACRES OF GREENVILLE,,20201112,MI,MONTCALM,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSION POINT OF GREENVILLE,65
Green Acres-Supportive Care,GREEN ACRES-SUPPORTIVE CARE,,20201112,MI,MONTCALM,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAURELS OF CARSON CITY,41
Green Acres-Supportive Care,GREEN ACRES-SUPPORTIVE CARE,,20201112,MI,MONTCALM,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAURELS OF CARSON CITY,41
Greenville Acres Adult Care,GREENVILLE ACRES ADULT CARE,,20201112,MI,MONTCALM,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSION POINT OF GREENVILLE,51
Greenville Acres Adult Care,GREENVILLE ACRES ADULT CARE,,20201112,MI,MONTCALM,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSION POINT OF GREENVILLE,51
Hathaway Hills Assisted Living,HATHAWAY HILLS ASSISTED LIVING,,20201112,MI,MONTCALM,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPECENTERUM HEALTH REHABILITATION AND NURSING CENTER - UNITED HOSPITAL,43
Hathaway Hills Assisted Living,HATHAWAY HILLS ASSISTED LIVING,,20201112,MI,MONTCALM,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPECENTERUM HEALTH REHABILITATION AND NURSING CENTER - UNITED HOSPITAL,43
Lakeview Terrace Assisted,LAKEVIEW TERRACE ASSISTED,,20201112,MI,MONTCALM,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAURELS OF CARSON CITY,38
Lakeview Terrace Assisted,LAKEVIEW TERRACE ASSISTED,,20201112,MI,MONTCALM,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAURELS OF CARSON CITY,38
Laurels of Carson City,LAURELS OF CARSON CITY,LAURELS OF CARSON CITY,20201112,MI,MONTCALM,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAURELS OF CARSON CITY,100
Laurels of Carson City,LAURELS OF CARSON CITY,LAURELS OF CARSON CITY,20201112,MI,MONTCALM,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAURELS OF CARSON CITY,100
Mission Point of Greenville,MISSION POINT OF GREENVILLE,MISSION POINT OF GREENVILLE,20201112,MI,MONTCALM,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSION POINT OF GREENVILLE,100
Mission Point of Greenville,MISSION POINT OF GREENVILLE,MISSION POINT OF GREENVILLE,20201112,MI,MONTCALM,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSION POINT OF GREENVILLE,100
Spectrum Health RNC - Kelsey Hospital,SPECENTERUM HEALTH REHABILITATION AND NURSING CENTER - KELSEY HOSPITAL,SPECENTERUM HEALTH REHABILITATION AND NURSING CENTER - KELSEY HOSPITAL,20201112,MI,MONTCALM,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPECENTERUM HEALTH REHABILITATION AND NURSING CENTER - KELSEY HOSPITAL,100
Spectrum Health RNC - Kelsey Hospital,SPECENTERUM HEALTH REHABILITATION AND NURSING CENTER - KELSEY HOSPITAL,SPECENTERUM HEALTH REHABILITATION AND NURSING CENTER - KELSEY HOSPITAL,20201112,MI,MONTCALM,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPECENTERUM HEALTH REHABILITATION AND NURSING CENTER - KELSEY HOSPITAL,100
Spectrum Health RNC - United Hospital,SPECENTERUM HEALTH REHABILITATION AND NURSING CENTER - UNITED HOSPITAL,SPECENTERUM HEALTH REHABILITATION AND NURSING CENTER - UNITED HOSPITAL,20201112,MI,MONTCALM,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPECENTERUM HEALTH REHABILITATION AND NURSING CENTER - UNITED HOSPITAL,100
Spectrum Health RNC - United Hospital,SPECENTERUM HEALTH REHABILITATION AND NURSING CENTER - UNITED HOSPITAL,SPECENTERUM HEALTH REHABILITATION AND NURSING CENTER - UNITED HOSPITAL,20201112,MI,MONTCALM,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPECENTERUM HEALTH REHABILITATION AND NURSING CENTER - UNITED HOSPITAL,100
Hillman's Haven,HILLMAN'S HAVEN,,20201112,MI,MONTMORENCY,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEDILODGE OF HILLMAN,61
Hillman's Haven,HILLMAN'S HAVEN,,20201112,MI,MONTMORENCY,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEDILODGE OF HILLMAN,61
MediLodge of Hillman,MEDILODGE OF HILLMAN,MEDILODGE OF HILLMAN,20201112,MI,MONTMORENCY,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEDILODGE OF HILLMAN,100
MediLodge of Hillman,MEDILODGE OF HILLMAN,MEDILODGE OF HILLMAN,20201112,MI,MONTMORENCY,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEDILODGE OF HILLMAN,100
Agape Home At Blueberry Fields,AGAPE HOME AT BLUEBERRY FIELDS,,20201112,MI,MUSKEGON,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SANCTUARY AT MCAULEY,86
Agape Home At Blueberry Fields,AGAPE HOME AT BLUEBERRY FIELDS,,20201112,MI,MUSKEGON,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SANCTUARY AT MCAULEY,86
Chestnut Fields Retirement Community,CHESTNUT FIELDS RETIREMENT COMMUNITY,,20201112,MI,MUSKEGON,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HILLCREST NURSING AND REHABILITATION COMMUNITY,59
Chestnut Fields Retirement Community,CHESTNUT FIELDS RETIREMENT COMMUNITY,,20201112,MI,MUSKEGON,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HILLCREST NURSING AND REHABILITATION COMMUNITY,59
Christian Care,CHRISTIAN CARE,,20201112,MI,MUSKEGON,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHRISTIAN CARE NURSING CENTER,90
Christian Care,CHRISTIAN CARE,,20201112,MI,MUSKEGON,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHRISTIAN CARE NURSING CENTER,90
Christian Care Assisted Living,CHRISTIAN CARE ASSISTED LIVING,,20201112,MI,MUSKEGON,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHRISTIAN CARE NURSING CENTER,67
Christian Care Assisted Living,CHRISTIAN CARE ASSISTED LIVING,,20201112,MI,MUSKEGON,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHRISTIAN CARE NURSING CENTER,67
Christian Care Nursing Center,CHRISTIAN CARE NURSING CENTER,CHRISTIAN CARE NURSING CENTER,20201112,MI,MUSKEGON,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHRISTIAN CARE NURSING CENTER,100
Christian Care Nursing Center,CHRISTIAN CARE NURSING CENTER,CHRISTIAN CARE NURSING CENTER,20201112,MI,MUSKEGON,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHRISTIAN CARE NURSING CENTER,100
Dayspring Assisted Living Residence,DAYSPRING ASSISTED LIVING RESIDENCE,,20201112,MI,MUSKEGON,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHRISTIAN CARE NURSING CENTER,44
Dayspring Assisted Living Residence,DAYSPRING ASSISTED LIVING RESIDENCE,,20201112,MI,MUSKEGON,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHRISTIAN CARE NURSING CENTER,44
Hallstrom Castle Assisted Living,HALLSTROM CASTLE ASSISTED LIVING,,20201112,MI,MUSKEGON,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SKLD - WHITEHALL,49
Hallstrom Castle Assisted Living,HALLSTROM CASTLE ASSISTED LIVING,,20201112,MI,MUSKEGON,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SKLD - WHITEHALL,49
Hillcrest Nursing & Rehab Community,HILLCREST NURSING AND REHABILITATION COMMUNITY,HILLCREST NURSING AND REHABILITATION COMMUNITY,20201112,MI,MUSKEGON,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HILLCREST NURSING AND REHABILITATION COMMUNITY,100
Hillcrest Nursing & Rehab Community,HILLCREST NURSING AND REHABILITATION COMMUNITY,HILLCREST NURSING AND REHABILITATION COMMUNITY,20201112,MI,MUSKEGON,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HILLCREST NURSING AND REHABILITATION COMMUNITY,100
Hume Home of Muskegon,HUME HOME OF MUSKEGON,,20201112,MI,MUSKEGON,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SKLD - MUSKEGON,72
Hume Home of Muskegon,HUME HOME OF MUSKEGON,,20201112,MI,MUSKEGON,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SKLD - MUSKEGON,72
Lake Woods Nursing and Rehabilitation,LAKE WOODS NURSING AND REHABILITATION,LAKE WOODS NURSING AND REHABILITATION,20201112,MI,MUSKEGON,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAKE WOODS NURSING AND REHABILITATION,100
Lake Woods Nursing and Rehabilitation,LAKE WOODS NURSING AND REHABILITATION,LAKE WOODS NURSING AND REHABILITATION,20201112,MI,MUSKEGON,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAKE WOODS NURSING AND REHABILITATION,100
Northcrest Assisted Living Community,NORTHCREST ASSISTED LIVING COMMUNITY,,20201112,MI,MUSKEGON,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HILLCREST NURSING AND REHABILITATION COMMUNITY,61
Northcrest Assisted Living Community,NORTHCREST ASSISTED LIVING COMMUNITY,,20201112,MI,MUSKEGON,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HILLCREST NURSING AND REHABILITATION COMMUNITY,61
Roosevelt Park Nursing Centre,ROOSEVELT PARK NURSING CENTRE,ROOSEVELT PARK NURSING CENTRE,20201112,MI,MUSKEGON,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROOSEVELT PARK NURSING CENTRE,100
Roosevelt Park Nursing Centre,ROOSEVELT PARK NURSING CENTRE,ROOSEVELT PARK NURSING CENTRE,20201112,MI,MUSKEGON,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROOSEVELT PARK NURSING CENTRE,100
SKLD Muskegon,SKLD - MUSKEGON,SKLD - MUSKEGON,20201112,MI,MUSKEGON,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SKLD - MUSKEGON,100
SKLD Muskegon,SKLD - MUSKEGON,SKLD - MUSKEGON,20201112,MI,MUSKEGON,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SKLD - MUSKEGON,100
SKLD Whitehall,SKLD - WHITEHALL,SKLD - WHITEHALL,20201112,MI,MUSKEGON,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SKLD - WHITEHALL,100
SKLD Whitehall,SKLD - WHITEHALL,SKLD - WHITEHALL,20201112,MI,MUSKEGON,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SKLD - WHITEHALL,100
Sanctuary at McAuley,SANCTUARY AT MCAULEY,SANCTUARY AT MCAULEY,20201112,MI,MUSKEGON,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SANCTUARY AT MCAULEY,100
Sanctuary at McAuley,SANCTUARY AT MCAULEY,SANCTUARY AT MCAULEY,20201112,MI,MUSKEGON,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SANCTUARY AT MCAULEY,100
Sanctuary at the Oaks #1,SANCTUARY AT THE OAKS #1,,20201112,MI,MUSKEGON,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SANCTUARY AT THE PARK,84
Sanctuary at the Oaks #1,SANCTUARY AT THE OAKS #1,,20201112,MI,MUSKEGON,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SANCTUARY AT THE PARK,84
Sanctuary at the Oaks #2,SANCTUARY AT THE OAKS #2,,20201112,MI,MUSKEGON,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SANCTUARY AT THE PARK,84
Sanctuary at the Oaks #2,SANCTUARY AT THE OAKS #2,,20201112,MI,MUSKEGON,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SANCTUARY AT THE PARK,84
Sanctuary at the Park,SANCTUARY AT THE PARK,SANCTUARY AT THE PARK,20201112,MI,MUSKEGON,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SANCTUARY AT THE PARK,100
Seminole Shores Assisted Living Center,SEMINOLE SHORES ASSISTED LIVING CENTER,,20201112,MI,MUSKEGON,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHRISTIAN CARE NURSING CENTER,54
Seminole Shores Assisted Living Center,SEMINOLE SHORES ASSISTED LIVING CENTER,,20201112,MI,MUSKEGON,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHRISTIAN CARE NURSING CENTER,54
The Agape Home,THE AGAPE HOME,,20201112,MI,MUSKEGON,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SANCTUARY AT THE PARK,86
The Agape Home,THE AGAPE HOME,,20201112,MI,MUSKEGON,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SANCTUARY AT THE PARK,86
The Cove at Lake Woods,THE COVE AT LAKE WOODS,,20201112,MI,MUSKEGON,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAKE WOODS NURSING AND REHABILITATION,86
The Cove at Lake Woods,THE COVE AT LAKE WOODS,,20201112,MI,MUSKEGON,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAKE WOODS NURSING AND REHABILITATION,86
Walker House AFC,WALKER HOUSE AFC,,20201112,MI,MUSKEGON,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHRISTIAN CARE NURSING CENTER,40
Walker House AFC,WALKER HOUSE AFC,,20201112,MI,MUSKEGON,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHRISTIAN CARE NURSING CENTER,40
White Lake Assisted Living,WHITE LAKE ASSISTED LIVING,,20201112,MI,MUSKEGON,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAKE WOODS NURSING AND REHABILITATION,46
White Lake Assisted Living,WHITE LAKE ASSISTED LIVING,,20201112,MI,MUSKEGON,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAKE WOODS NURSING AND REHABILITATION,46
Fountain View Retirement Village Grant,FOUNTAIN VIEW RETIREMENT VILLAGE GRANT,,20201112,MI,NEWAYGO,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSITIONAL HEALTH SERVICES OF FREMONT,42
Fountain View Retirement Village Grant,FOUNTAIN VIEW RETIREMENT VILLAGE GRANT,,20201112,MI,NEWAYGO,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSITIONAL HEALTH SERVICES OF FREMONT,42
Fountainview Ret Vil Fremont I,FOUNTAINVIEW RET VIL FREMONT I,,20201112,MI,NEWAYGO,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSITIONAL HEALTH SERVICES OF FREMONT,52
Fountainview Ret Vil Fremont I,FOUNTAINVIEW RET VIL FREMONT I,,20201112,MI,NEWAYGO,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSITIONAL HEALTH SERVICES OF FREMONT,52
Green Acres Of Fremont II,GREEN ACRES OF FREMONT II,,20201112,MI,NEWAYGO,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSITIONAL HEALTH SERVICES OF FREMONT,86
Green Acres Of Fremont II,GREEN ACRES OF FREMONT II,,20201112,MI,NEWAYGO,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSITIONAL HEALTH SERVICES OF FREMONT,86
Green Acres of Fremont,GREEN ACRES OF FREMONT,,20201112,MI,NEWAYGO,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSITIONAL HEALTH SERVICES OF FREMONT,86
Green Acres of Fremont,GREEN ACRES OF FREMONT,,20201112,MI,NEWAYGO,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSITIONAL HEALTH SERVICES OF FREMONT,86
Newaygo Co Medical Care Facility,NEWAYGO CO MEDICAL CARE FACILITY,NEWAYGO CO MEDICAL CARE FACILITY,20201112,MI,NEWAYGO,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEWAYGO CO MEDICAL CARE FACILITY,100
Newaygo Co Medical Care Facility,NEWAYGO CO MEDICAL CARE FACILITY,NEWAYGO CO MEDICAL CARE FACILITY,20201112,MI,NEWAYGO,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEWAYGO CO MEDICAL CARE FACILITY,100
Transitional Health Services of Fremont,TRANSITIONAL HEALTH SERVICES OF FREMONT,TRANSITIONAL HEALTH SERVICES OF FREMONT,20201112,MI,NEWAYGO,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSITIONAL HEALTH SERVICES OF FREMONT,100
Transitional Health Services of Fremont,TRANSITIONAL HEALTH SERVICES OF FREMONT,TRANSITIONAL HEALTH SERVICES OF FREMONT,20201112,MI,NEWAYGO,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSITIONAL HEALTH SERVICES OF FREMONT,100
American House Rochester Hills,AMERICAN HOUSE ROCHESTER HILLS,,20201112,MI,OAKLAND,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BEAUMONT REHABILITATION AND CONTINUING CARE - FARMINGTON HILLS,86
American House Rochester Hills,AMERICAN HOUSE ROCHESTER HILLS,,20201112,MI,OAKLAND,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BEAUMONT REHABILITATION AND CONTINUING CARE - FARMINGTON HILLS,86
Anthology of Rochester Hills,ANTHOLOGY OF ROCHESTER HILLS,,20201112,MI,OAKLAND,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BEAUMONT REHABILITATION AND CONTINUING CARE - FARMINGTON HILLS,86
