,Week Ending,Federal Provider Number,Provider Name,Provider Address,Provider City,Provider State,Provider Zip Code,Submitted Data,Passed Quality Assurance Check,Residents Weekly Admissions COVID-19,Residents Total Admissions COVID-19,Residents Weekly Confirmed COVID-19,Residents Total Confirmed COVID-19,Residents Weekly Suspected COVID-19,Residents Total Suspected COVID-19,Residents Weekly All Deaths,Residents Total All Deaths,Residents Weekly COVID-19 Deaths,Residents Total COVID-19 Deaths,Number of All Beds,Total Number of Occupied Beds,Resident Access to Testing in Facility,Laboratory Type Is State Health Dept,Laboratory Type Is Private Lab,Laboratory Type Is Other,Staff Weekly Confirmed COVID-19,Staff Total Confirmed COVID-19,Staff Weekly Suspected COVID-19,Staff Total Suspected COVID-19,Staff Weekly COVID-19 Deaths,Staff Total COVID-19 Deaths,Shortage of Nursing Staff,Shortage of Clinical Staff,Shortage of Aides,Shortage of Other Staff,Any Current Supply of N95 Masks,One-Week Supply of N95 Masks,Any Current Supply of Surgical Masks,One-Week Supply of Surgical Masks,Any Current Supply of Eye Protection,One-Week Supply of Eye Protection,Any Current Supply of Gowns,One-Week Supply of Gowns,Any Current Supply of Gloves,One-Week Supply of Gloves,Any Current Supply of Hand Sanitizer,One-Week Supply of Hand Sanitizer,Ventilator Dependent Unit,Number of Ventilators in Facility,Number of Ventilators in Use for COVID-19,Any Current Supply of Ventilator Supplies,One-Week Supply of Ventilator Supplies,"Total Resident Confirmed COVID-19 Cases Per 1,000 Residents","Total Resident COVID-19 Deaths Per 1,000 Residents",Total Residents COVID-19 Deaths as a Percentage of Confirmed COVID-19 Cases,Geolocation
19834,05/31/2020,375476,COVENANT LIVING OF TULSA,3800 WEST 71ST STREET SOUTH,TULSA,OK,74132.0,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,44.0,33.0,Y,Y,Y,N,0.0,0.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-96.03459 36.060941)
19835,05/31/2020,455834,SOUTH PLACE REHABILITATION AND SKILLED NURSING,150 GIBSON RD,ATHENS,TX,75751.0,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,63.0,Y,N,Y,N,0.0,0.0,0.0,3.0,0.0,0.0,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-95.849785 32.174846)
19836,05/31/2020,675120,WOODVILLE HEALTH AND REHABILITATION CENTER,102 N BEECH ST,WOODVILLE,TX,75979.0,Y,Y,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,,52.0,Y,Y,Y,N,0.0,0.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-94.429567 30.775991)
19837,05/31/2020,375470,CHANDLER THERAPY & LIVING CENTER LLC,601 WEST 1ST STREET,CHANDLER,OK,74834.0,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,47.0,Y,Y,N,N,0.0,0.0,1.0,1.0,0.0,0.0,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-96.887738 35.710034)
19838,05/31/2020,455390,BUENA VIDA NURSING AND REHAB-SAN ANTONIO,5027 PECAN GROVE,SAN ANTONIO,TX,78222.0,Y,Y,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,222.0,85.0,Y,Y,Y,N,0.0,0.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,23.5,11.8,50.0,POINT (-98.419883 29.375372999999996)
19839,05/31/2020,505319,MANOR CARE HEALTH SERVICES (LYNNWOOD),3701 188TH STREET SOUTHWEST,LYNNWOOD,WA,98037.0,Y,Y,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,113.0,92.0,Y,N,Y,N,0.0,0.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-122.28347800000002 47.828221000000006)
19843,05/31/2020,325127,THE SUITES RIO VISTA,"2410 19TH STREET, SE",RIO RANCHO,NM,87124.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-106.697863 35.218388)
19846,05/31/2020,345002,CYPRESS POINTE REHABILITATION CENTER,2006 SOUTH 16TH STREET,WILMINGTON,NC,28401.0,Y,Y,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,90.0,70.0,Y,N,Y,N,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,57.1,0.0,0.0,POINT (-77.92532 34.209272)
19851,05/31/2020,335044,FAR ROCKAWAY CENTER FOR REHABILITATION AND NURSING,13 11 VIRGINA ST,FAR ROCKAWAY,NY,11691.0,Y,Y,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,88.0,Y,N,Y,N,0.0,0.0,0.0,0.0,0.0,0.0,Y,Y,Y,Y,,,,,,,,,,,,,N,,,,,0.0,0.0,,
19852,05/31/2020,555106,SANTA FE LODGE,5053  PECK RD.,EL MONTE,CA,91732.0,Y,Y,0.0,0.0,3.0,18.0,0.0,40.0,0.0,0.0,0.0,0.0,46.0,45.0,Y,N,Y,N,0.0,6.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,400.0,0.0,0.0,POINT (-118.012527 34.0951)
19855,05/31/2020,375396,THE LAKES,5701 WEST BRITTON ROAD,OKLAHOMA CITY,OK,73132.0,Y,Y,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,77.0,Y,Y,Y,N,0.0,0.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-97.618079 35.565615)
19857,05/31/2020,345235,TWIN LAKES COMMUNITY,3801 WADE COBLE DRIVE,BURLINGTON,NC,27215.0,N,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-79.521844 36.082406)
19860,05/31/2020,395868,HEARTHSIDE REHAB CENTER,450 WAUPELANI DRIVE,STATE COLLEGE,PA,16801.0,Y,Y,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,157.0,136.0,Y,N,Y,N,0.0,0.0,0.0,0.0,0.0,0.0,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-77.854733 40.777484)
19861,05/31/2020,675241,MAGNOLIA PLACE,1307 MARTIN LUTHER KING DR,JEFFERSON,TX,75657.0,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,116.0,83.0,Y,N,Y,N,0.0,0.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-94.358529 32.77222)
19864,05/31/2020,675542,BROOKDALE ALAMO HEIGHTS,855 E BASSE RD,SAN ANTONIO,TX,78209.0,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,25.0,Y,N,Y,N,0.0,0.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-98.472071 29.497508000000003)
19865,05/31/2020,335087,ST JOSEPHS HOME,950 LINDEN STREET,OGDENSBURG,NY,13669.0,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,80.0,Y,N,Y,N,0.0,3.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-75.466212 44.699777)
19866,05/31/2020,395430,DUBOIS NURSING HOME,P O BOX 307,DUBOIS,PA,15801.0,Y,Y,0.0,0.0,0.0,0.0,2.0,2.0,0.0,10.0,2.0,2.0,140.0,113.0,Y,N,Y,N,0.0,0.0,2.0,2.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,17.7,,
19869,05/31/2020,676334,CHELSEA GARDENS,4422 RIVERSTONE BLVD,MISSOURI CITY,TX,77459.0,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,19.0,Y,N,Y,N,1.0,2.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-95.572088 29.566667)
19871,05/31/2020,505270,PARK WEST CARE CENTER,1703 CALIFORNIA AVENUE SOUTHWEST,SEATTLE,WA,98116.0,Y,Y,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,107.0,Y,N,Y,N,0.0,1.0,0.0,2.0,0.0,0.0,N,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-122.38624000000002 47.588021)
19873,05/31/2020,375573,CROSS TIMBERS NURSING AND REHABILIATION,1400 BUENA VISTA AVENUE,MIDWEST CITY,OK,73110.0,Y,Y,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,187.0,58.0,Y,N,Y,N,0.0,1.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,34.5,0.0,0.0,POINT (-97.417545 35.452283)
19874,05/31/2020,365755,COLONIAL MANOR HEALTH CARE CEN,747 S MT VERNON AVE,LOUDONVILLE,OH,44842.0,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,53.0,44.0,Y,N,Y,N,0.0,0.0,0.0,0.0,0.0,0.0,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-82.24232 40.627842)
19877,05/31/2020,375566,ELK CROSSING,811 WEST ELK,DUNCAN,OK,73533.0,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,90.0,80.0,Y,Y,Y,N,0.0,0.0,0.0,3.0,0.0,0.0,Y,N,Y,N,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-97.954869 34.521632)
19878,05/31/2020,515051,ST. JOSEPH'S HOSPITAL,AMALIA DRIVE #1,BUCKHANNON,WV,26201.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19879,05/31/2020,675395,VAL VERDE NURSING AND REHABILITATION CENTER,100 HERMANN DR,DEL RIO,TX,78840.0,Y,Y,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,80.0,63.0,Y,N,Y,N,0.0,0.0,0.0,3.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-100.88796900000001 29.374285999999998)
19883,05/31/2020,525314,LAKE MILLS HEALTH SERVICES,901 MULBERRY ST,LAKE MILLS,WI,53551.0,N,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-88.902404 43.084883)
19885,05/31/2020,555610,EMANATE HEALTH INTER-COMMUNITY HOSPITAL- D/P SNF,210 W. SAN BERNARDINO RD.,COVINA,CA,91723.0,Y,Y,0.0,0.0,0.0,0.0,0.0,2.0,0.0,40.0,0.0,0.0,23.0,13.0,Y,N,Y,N,0.0,0.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-117.89366599999998 34.089947)
19889,05/31/2020,396122,FOX SUBACUTE AT MECHANICSBURG,120 SOUTH FILBERT ST,MECHANICSBURG,PA,17055.0,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,55.0,Y,Y,Y,N,0.0,0.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,56.0,0.0,Y,Y,0.0,0.0,,POINT (-76.998705 40.214364)
19892,05/31/2020,445470,TOWNE SQUARE CARE OF PURYEAR,220 COLLEGE STREET,PURYEAR,TN,38251.0,N,,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,0.0,6.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,POINT (-88.339466 36.441892)
19894,05/31/2020,495240,FREDERICKSBURG HEALTH AND REHAB,3900 PLANK ROAD,FREDERICKSBURG,VA,22407.0,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,102.0,Y,N,N,Y,0.0,0.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,,,,,0.0,0.0,,POINT (-77.526244 38.291192)
19897,05/31/2020,335216,AVON NURSING HOME L L C,215 CLINTON STREET,AVON,NY,14414.0,Y,Y,0.0,0.0,0.0,4.0,0.0,1.0,0.0,4.0,0.0,2.0,40.0,27.0,Y,N,Y,N,0.0,1.0,0.0,0.0,0.0,0.0,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,,,,,148.1,74.1,50.0,POINT (-77.737115 42.907636)
19900,05/31/2020,385282,REGENCY CARE OF CENTRAL OREGON,119 SE WILSON AVENUE,BEND,OR,97702.0,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,30.0,Y,N,Y,N,0.0,0.0,0.0,0.0,0.0,0.0,N,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-121.30492999999998 44.04437000000001)
19901,05/31/2020,335877,MONTEFIORE NYACK HOSPITAL T C U,160 NORTH MIDLAND AVENUE,NYACK,NY,10960.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-73.925253 41.095251000000005)
19902,05/31/2020,445524,BRIGADIER GENERAL WENDELL H GILBERT TN STATE VETER,250 ARROWOOD DRIVE,CLARKSVILLE,TN,37042.0,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,95.0,Y,Y,N,N,0.0,0.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-87.42206 36.579886)
19905,05/31/2020,525702,LAKE COUNTRY HEALTH SERVICES,2195 NORTH SUMMIT VILLAGE WAY,OCONOMOWOC,WI,53066.0,Y,Y,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,80.0,Y,N,Y,N,5.0,14.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-88.470554 43.05933)
19906,05/31/2020,425112,"SIMPSONVILLE REHABILITATION AND HEALTHCARE CENTER,",807 SOUTH EAST MAIN STREET,SIMPSONVILLE,SC,29681.0,Y,Y,2.0,4.0,0.0,21.0,0.0,92.0,1.0,23.0,0.0,0.0,132.0,110.0,Y,Y,Y,N,0.0,4.0,0.0,142.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,190.9,0.0,0.0,POINT (-82.244266 34.717494)
19908,05/31/2020,676183,HUNTINGTON HEALTH CARE & REHABILITATION CENTER,220 E ASH STREET,HUNTINGTON,TX,75949.0,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,112.0,52.0,Y,N,Y,N,0.0,0.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-94.573572 31.277995)
19909,05/31/2020,366301,HERITAGESPRING HEALTHCARE CENTER OF WEST CHESTER,7235 HERITAGESPRING DRIVE,WEST CHESTER,OH,45069.0,Y,Y,2.0,5.0,0.0,5.0,0.0,0.0,1.0,12.0,0.0,2.0,144.0,102.0,N,N,N,N,1.0,10.0,0.0,2.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,49.0,19.6,40.0,POINT (-84.353162 39.367493)
19910,05/31/2020,445173,DONALSON CARE CENTER,1681 WINCHESTER HIGHWAY,FAYETTEVILLE,TN,37334.0,Y,Y,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,168.0,117.0,Y,Y,Y,N,0.0,0.0,0.0,2.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-86.524988 35.163398)
19911,05/31/2020,525722,MARSHFIELD CLINIC COMFORT AND RECOVERY-MARSHFIELD,1000 N OAK AVE,MARSHFIELD,WI,54449.0,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,11.0,Y,N,Y,N,0.0,0.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-90.176127 44.677718)
19912,05/31/2020,395135,PENNYPACK NURSING AND REHABILITATION CENTER,8015 LAWNDALE AVENUE,PHILADELPHIA,PA,19111.0,Y,Y,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,54.0,47.0,Y,Y,Y,N,0.0,0.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-75.070781 40.071434)
19913,05/31/2020,365818,BAYLEY PLACE,990 BAYLEY PLACE DRIVE,CINCINNATI,OH,45233.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-84.643789 39.100129)
19914,05/31/2020,555521,RANCHO MESA CARE CENTER,9333 LA MESA DRIVE,ALTA LOMA,CA,91701.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-117.601927 34.123453)
19915,05/31/2020,46A058,FAIRVIEW CARE CENTER EAST,455 SOUTH 900 EAST,SALT LAKE CITY,UT,84102.0,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,33.0,Y,Y,N,N,0.0,0.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-111.865329 40.759218)
19916,05/31/2020,675270,PECAN MANOR NURSING AND REHABILITATION,413 E MANSFIELD CARDINAL,KENNEDALE,TX,76060.0,Y,Y,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,50.0,36.0,Y,N,Y,N,0.0,1.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,83.3,0.0,0.0,
19918,05/31/2020,335823,HELEN HAYES HOSPITAL R H C F,51 N RT 9W,WEST HAVERSTRAW,NY,10993.0,Y,Y,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,Y,N,Y,N,0.0,20.0,0.0,2.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,,,0.0,POINT (-73.985768 41.212779)
19919,05/31/2020,335364,CUBA MEMORIAL HOSPITAL INC S N F,140 WEST MAIN STREET,CUBA,NY,14727.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-78.288139 42.213341)
19920,05/31/2020,365265,PIQUA MANOR,1840 WEST HIGH STREET,PIQUA,OH,45356.0,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,91.0,Y,Y,Y,N,0.0,0.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,1.0,0.0,Y,Y,0.0,0.0,,POINT (-84.276764 40.147714)
19921,05/31/2020,345448,MAPLE GROVE HEALTH AND REHABILITATION CENTER,308 WEST MEADOWVIEW ROAD,GREENSBORO,NC,27406.0,Y,Y,0.0,0.0,23.0,24.0,23.0,23.0,4.0,8.0,4.0,4.0,210.0,120.0,Y,N,Y,N,7.0,8.0,7.0,7.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,200.0,33.3,16.7,POINT (-79.797573 36.03944200000001)
19923,05/31/2020,366220,HARMONY COURT REHAB AND NURSING,6969 GLENMEADOW LANE,CINCINNATI,OH,45237.0,Y,Y,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,120.0,103.0,Y,N,Y,N,0.0,0.0,0.0,6.0,0.0,0.0,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,3.0,0.0,Y,Y,0.0,0.0,,POINT (-84.468172 39.187326)
19925,05/31/2020,315289,VOORHEES PEDIATRIC FACILITY,1304 LAUREL OAK ROAD,VOORHEES,NJ,8043.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-74.96898 39.851092)
19926,05/31/2020,555134,MOUNT MIGUEL COVENANT VILLAGE,325 KEMPTON ST.,SPRING VALLEY,CA,91977.0,Y,Y,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,87.0,69.0,Y,Y,N,Y,0.0,0.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-117.001996 32.703068)
19931,05/31/2020,555738,WINDSOR TERRACE HEALTH CARE,7447 SEPULVEDA BLVD,VAN NUYS,CA,91405.0,Y,Y,1.0,5.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,33.0,133.0,76.0,Y,Y,Y,N,0.0,7.0,0.0,3.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,6.0,0.0,Y,Y,39.5,434.2,1100.0,POINT (-118.46620200000001 34.206273)
19933,05/31/2020,345384,PRUITTHEATH-FARMVILLE,4351 SOUTH MAIN STREET,FARMVILLE,NC,27828.0,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,50.0,Y,Y,N,N,6.0,6.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-77.593568 35.578134)
19934,05/31/2020,335132,PARKER JEWISH INSTITUTE FOR HEALTH CARE & REHAB,271-11 76TH AVE,NEW HYDE PARK,NY,11040.0,Y,Y,3.0,29.0,14.0,38.0,0.0,4.0,3.0,16.0,1.0,10.0,527.0,353.0,Y,N,Y,N,6.0,26.0,4.0,43.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,107.6,28.3,26.3,POINT (-73.70621 40.75385300000001)
19939,05/31/2020,335566,UNITED HELPERS CANTON NURSING HOME,205 STATE STREET ROAD,CANTON,NY,13617.0,Y,Y,0.0,0.0,0.0,1.0,0.0,0.0,3.0,10.0,0.0,0.0,96.0,87.0,Y,N,Y,N,0.0,1.0,0.0,6.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,11.5,0.0,0.0,POINT (-75.161591 44.61269800000001)
19940,05/31/2020,375326,MEEKER NURSING CENTER,500 NORTH DAWSON STREET,MEEKER,OK,74855.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-96.894428 35.509828)
19942,05/31/2020,375525,FRANCISCAN VILLA,17110 EAST 51ST STREET,BROKEN ARROW,OK,74012.0,Y,Y,3.0,13.0,0.0,27.0,0.0,5.0,0.0,19.0,0.0,8.0,110.0,61.0,Y,N,Y,N,1.0,32.0,4.0,15.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,442.6,131.1,29.6,POINT (-95.785447 36.089998)
19943,05/31/2020,396073,"NORTH STRABANE REHABILITATION AND WELLNESS CTR, LL",100 TANDEM VILLAGE ROAD,CANONSBURG,PA,15317.0,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,58.0,Y,N,Y,N,0.0,0.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-80.141181 40.257661000000006)
19944,05/31/2020,355044,MOUNTRAIL BETHEL HOME,615 6TH ST SE,STANLEY,ND,58784.0,Y,Y,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,36.0,32.0,Y,Y,Y,N,0.0,1.0,0.0,0.0,0.0,0.0,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-102.380869 48.312504)
19945,05/31/2020,395697,WOODLAND PARK REHAB CENTER,18889 CROGHAN PIKE,ORBISONIA,PA,17243.0,Y,Y,0.0,9.0,0.0,0.0,0.0,11.0,2.0,5.0,0.0,0.0,125.0,120.0,Y,N,Y,N,0.0,1.0,0.0,2.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-77.895475 40.249300000000005)
19948,05/31/2020,315462,TALLWOODS CARE CENTER,18 BUTLER BOULEVARD,BAYVILLE,NJ,8721.0,Y,Y,1.0,3.0,3.0,31.0,0.0,3.0,4.0,6.0,0.0,10.0,180.0,149.0,Y,N,Y,N,1.0,14.0,0.0,0.0,0.0,0.0,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,208.1,67.1,32.3,POINT (-74.157009 39.891078)
